Object ID,Longitude,Latitude,Distance (Parsecs),Name,Diameter (Parsecs)
6614,110.6,2.6,870,HD      217463,0
6581,108.2,-2.7,3470,HD      217476,0
12777,109.3,-0.3,1760,HD      217490,0
6591,109.3,-0.3,3470,HD      217490,0
6616,110.8,2.7,870,HD      217657,0
12708,97.4,-25.6,1840,HD      217754,0
12744,103.1,-14.6,550,HD      217811A,0
6626,111.3,3.3,870,HD      217919,0
12784,110,0.3,520,HD      217943A,0
6623,111.2,3.2,870,HD      217979,0
12792,111.2,3,490,HD      218066,0
6592,109.3,-1.8,3470,HD      218195,0
6635,111.8,3.7,870,HD      218323,0
12755,104.9,-12.3,980,HD      218325,0
6629,111.4,2.7,870,HD      218342,0
12761,106.6,-8.4,810,HD      218344,0
12783,109.9,-0.8,660,HD      218376,0
12786,110.1,-0.5,580,HD      218440,0
12800,111.7,3,410,HD      218537AB,0
12766,108.1,-6.9,3500,HD      218915,0
6619,110.9,0.1,2630,HD      218941,0
12781,109.6,-3.7,1670,HD      219135,0
12630,83,-50.2,2260,HD      219188,0
6617,110.8,-1.1,2630,HD      219287,0
12805,112,1.1,580,HD      219634,0
6645,112.6,1.7,870,HD      219978,0
12806,112.1,0.2,520,HD      220057,0
12793,111.2,-2.5,950,HD      220116,0
12810,112.5,1.2,1100,HD      220130,0
12796,111.4,-3.4,410,HD      220562,0
12751,104.1,-23.3,700,HD      220598,0
12820,112.9,0.2,1430,HD      220770,0
12508,67.8,-64.4,1770,HD      220787,0
12779,109.5,-11.6,4310,HD      221246,0
12870,116.9,9.7,430,HD      221861,0
12858,116.5,6.4,580,HD      222568,0
12794,111.3,-15,670,HD      223047,0
12862,116.6,4.7,490,HD      223128,0
6680,115.7,0.2,2510,HD      223385,0
12845,115.8,0.2,770,HD      223501,0
6689,116,-0.2,2510,HD      223767,0
12833,115,-5.2,1850,HD      223924,0
6690,116,-1.2,2510,HD      223960,0
12855,116.2,-0.5,910,HD      223987,0
6672,115.3,-4.5,2510,HD      224014,0
6697,116.3,-0.3,2510,HD      224055,0
12841,115.4,-4.7,820,HD      224151,0
6693,116.1,-2.5,2510,HD      224424,0
12844,115.7,-5,3750,HD      224436,0
12842,115.6,-6.4,420,HD      224572AB,0
12861,116.5,-2.2,1730,HD      224599,0
6705,116.9,-1.4,2510,HD      224868,0
12869,116.8,-1.8,1220,HD      224905,0
12885,117.6,1.3,2550,HD      225094,0
6711,117.6,1.3,2510,HD      225094,0
12849,116.1,-6.7,1170,HD      225095,0
6707,117.2,-1.2,2510,HD      225146,0
12878,117.4,-0.1,3890,HD      225160,0
12652,87.1,-70,550,HD      225212,0
12511,68.5,3.5,1740,HD      225985,0
12528,72.4,1.6,1470,HD      227722,0
12532,72.8,0.4,1270,HD      228368,0
12548,75,1.4,4610,HD      228534,0
12535,73.2,-0.5,1310,HD      228779,0
12588,77.4,0.9,2090,HD      229232,0
13119,140.1,1.9,2060,HD      237090,0
13266,187.9,-2.5,3080,HD      248894,0
13370,212.4,-0.1,8240,HD      292392,0
13765,274.3,0,2140,HD      298425,0
13769,274.5,-0.3,2080,HD      298429,0
13830,282.6,-2.4,2750,HD      302501,0
13834,282.8,-2.5,3240,HD      302505,0
13949,288.3,0.8,4700,HD      303558,0
13944,288.2,-1,5400,HD      305619,0
14616,342.2,2.6,2140,HD      325916,0
14632,343.5,1.1,2880,HD      326329,0
14514,330.4,4.6,6490,HD      329905,0
12477,64.1,1.7,4060,HD      332755,0
12451,59.4,-0.2,2790,HD      344784,0
15355,276.82,1.53,2656,HD 298682,0
15417,277.19,-1.17,1234,HD 300167,0
15292,217.53,-7.56,1443,HD 46380,0
15361,222.66,-7.82,869,HD 48038,0
15276,225.44,-6.6,650,HD 49977,0
15382,232.71,-9.44,1784,HD 50562,0
15437,231.3,-8.62,545,HD 50707,0
15299,224.98,-5.44,2218,HD 50737,0
15390,218.99,-2.16,2482,HD 50871,0
15395,216.28,-0.43,805,HD 51150,0
15378,217.84,-0.59,1855,HD 51697,0
15328,216.42,0.18,2156,HD 51756,0
15277,228.33,-5.52,1170,HD 52244,0
15428,222.17,-2.16,1114,HD 52382,0
15352,217.07,0.9,3357,HD 52718,0
15387,217.9,0.93,1704,HD 53135,0
15296,223.71,-1.9,1091,HD 53367,0
15429,222.31,-1.11,2017,HD 53428,0
15385,224.69,-2.34,963,HD 53456,0
15445,221.99,-0.86,3107,HD 53456,0
15394,225.47,-2.57,988,HD 53623,0
15317,222.54,-1.02,7383,HD 53649,0
15302,222.31,-0.86,1423,HD 53667,0
15476,222.41,-0.84,1878,HD 53754,0
15319,221.6,-0.09,22969,HD 54024,0
15479,227.24,-2.9,1242,HD 54197,0
15375,225.4,-1.68,1174,HD 54439,0
15371,229,-3.06,1215,HD 54911,0
15377,222.48,0.66,3433,HD 55134,0
15388,218.94,2.62,1390,HD 55187,0
15403,225.09,-0.4,1426,HD 55420,0
15303,229.13,-2.42,820,HD 55538,0
15383,236.45,-5.68,1404,HD 56094,0
15392,232.5,-2.92,1355,HD 56727,0
15442,229.85,-1.33,2875,HD 56847,0
15487,231.26,-1.99,2524,HD 56952,0
15370,235.64,-4.02,2298,HD 57236,0
15279,223.77,2.6,1114,HD 57386,0
15365,234.74,-3.08,2487,HD 57613,0
15294,226.09,1.84,7125,HD 57775,0
15448,239.54,-5.23,2858,HD 58011,0
15418,234.5,-2.38,2703,HD 58131,0
15464,243.23,-6.99,2756,HD 58200,0
15455,237.83,-4.02,1708,HD 58256,0
15373,235.07,-2.34,2602,HD 58416,0
15367,235.4,-2.39,2219,HD 58509,0
15415,235.52,-2.47,1603,HD 58510,0
15456,230.28,0.63,2892,HD 58720,0
15286,231.36,0.51,2530,HD 59094,0
15275,236.6,-1.91,963,HD 59497,0
15472,245.93,-6.76,3629,HD 59756,0
15432,234.2,-0.19,2802,HD 59813,0
15341,242.95,-4.65,3351,HD 60196,0
15326,228.04,3.79,7076,HD 60260,0
15473,242.22,-4.15,3458,HD 60284,0
15410,231.41,1.95,1616,HD 60308,0
15386,238.82,-2.19,1406,HD 60344,0
15350,242.68,-4.3,2555,HD 60369,0
15470,242.43,-4.03,3408,HD 60479,0
15413,230.6,3.79,4553,HD 61347,0
15440,245.95,-4.54,2011,HD 61709,0
15457,241,-1.59,2048,HD 61778,0
15427,247.12,-5.07,923,HD 61827,0
15474,246.2,-4.52,3154,HD 61851,0
15404,247.32,-4.84,1398,HD 62150,0
15274,234.83,2.93,948,HD 62532,0
15287,242.72,-1.39,4934,HD 62780,0
15411,247.32,-4.03,954,HD 62844,0
15449,237.48,1.8,4058,HD 62866,0
15419,240.8,-0.13,2357,HD 62888,0
15304,246.07,-3.16,2001,HD 62959,0
15342,242.47,-0.93,5691,HD 63005,0
15443,241.8,-0.46,1644,HD 63071,0
15297,251.17,-5.9,1458,HD 63150,0
15416,243.84,-1.39,1782,HD 63290,0
15447,246.17,-2.63,1516,HD 63423,0
15308,243.16,0.36,10210,HD 64315,0
15491,242.07,1.13,2404,HD 64399,0
15344,243.14,0.71,5522,HD 64568,0
15452,241.5,2.22,2371,HD 64993,0
15314,245.38,-0.04,2302,HD 65087,0
15485,253.38,-3.56,1358,HD 66334,0
15340,245.43,2.05,5715,HD 66788,0
15310,258.23,-4.98,2664,HD 67978,0
15475,246.05,3.11,3089,HD 68026,0
15465,250.25,0.91,4428,HD 68552,0
15347,254.37,-1.62,1316,HD 68761,0
15471,254.52,-1.33,1867,HD 69106,0
15311,254.82,-1.18,3050,HD 69425,0
15309,253.61,-0.3,3146,HD 69464,0
15329,260.88,-5.1,2455,HD 69648,0
15441,247.05,4.43,3709,HD 69688,0
15423,259.5,-3.91,1022,HD 69882,0
15458,261.07,-4.71,1443,HD 70122,0
15376,246.56,5.87,3533,HD 70461,0
15393,261.76,-3.77,2095,HD 71304,0
15396,261.76,-3.77,1264,HD 71304,0
15323,261.76,-3.77,2120,HD 71304,0
15374,260.13,-2.33,1250,HD 71528,0
15486,261.2,-3.01,1200,HD 71609,0
15438,255.76,1,2447,HD 71649,0
15381,248.47,6.45,1188,HD 71771,0
15477,254.38,2.37,1661,HD 71913,0
15305,260.77,-2.2,367,HD 72014,0
15298,260.77,-2.2,1984,HD 72014,0
15435,263.94,-3.86,1504,HD 72554,0
15459,262.09,-2.48,805,HD 72576,0
15401,266.83,-5.82,1583,HD 72754,0
15446,265.26,-4.57,1693,HD 72800,0
15362,262.81,-1.95,2526,HD 73420,0
15363,263.79,-2.53,1280,HD 73568,0
15453,264.68,-3.13,1185,HD 73658,0
15480,264.49,-2.79,1863,HD 73831,0
15368,260.18,0.64,807,HD 73882,0
15481,265.17,-2.2,1765,HD 74677,0
15333,265.73,-2.61,1318,HD 74711,0
15488,261.5,0.94,765,HD 74804,0
15315,265.29,-1.95,6403,HD 74920,0
15489,265.19,-1.86,1349,HD 74936,0
15324,263.96,-0.47,1681,HD 75211,0
15409,258.29,4.18,1540,HD 75222,0
15460,265.86,-1.9,2405,HD 75309,0
15436,267.01,-2.56,1387,HD 75534,0
15313,269.03,-4.22,1961,HD 75551,0
15290,266.87,-2.29,4839,HD 75658,0
15293,272.11,-6.62,4701,HD 75661,0
15400,264.14,0.27,1119,HD 75860,0
15482,267.17,-2.07,2061,HD 75991,0
15421,264.48,0.27,1714,HD 76031,0
15357,263.54,1.52,955,HD 76341,0
15349,267.42,-1.52,2132,HD 76535,0
15301,267.58,-1.63,2156,HD 76556,0
15467,270.22,-3.37,2280,HD 76968,0
15425,268.95,-1.9,1473,HD 77207,0
15461,267.61,0,767,HD 77718,0
15426,269.15,-1.2,719,HD 77852,0
15332,269.25,-1.15,2173,HD 77959,0
15316,268.89,-0.38,2966,HD 78344,0
15422,269.31,-0.73,1048,HD 78345,0
15359,266.02,3.1,1201,HD 78927,0
15414,266.47,2.73,1751,HD 78958,0
15288,275.44,-4.75,1886,HD 79778,0
15402,271.63,-0.67,520,HD 80077,0
15360,274.41,-1.81,2196,HD 81370,0
15289,271.43,3.62,20921,HD 82830,0
15284,276.18,-1.35,3270,HD 83043,0
15291,276.64,-1,3870,HD 83597,0
15478,273.72,3.19,1475,HD 84136,0
15466,277.9,-0.53,1310,HD 84861,0
15454,277.16,0.4,1387,HD 84877,0
15439,274.37,4.6,2611,HD 85356,0
15483,273.89,7.19,2052,HD 86438,0
15444,280.28,-1.04,1062,HD 86490,0
15420,279.77,6.64,3239,HD 90202,0
12802,111.7,-14.6,450,HDE     223229,0
12540,73.7,6,4470,HDE     226223,0
6243,71.3,3.1,2290,HDE     226868,0
6248,72.2,3.4,2290,HDE     226951,0
6244,71.6,2.9,2290,HDE     227018,0
12537,73.4,3.4,5010,HDE     227242,0
6249,72.2,2.6,2290,HDE     227245,0
6274,72.9,2.6,2290,HDE     227460,0
6253,72.5,2,2290,HDE     227586,0
6251,72.5,2,2290,HDE     227586B,0
6267,72.7,2.2,2290,HDE     227611,0
6261,72.6,2,2290,HDE     227621,0
6262,72.6,2,2290,HDE     227634,0
6259,72.6,2,2290,HDE     227634D,0
6276,73.1,2.3,2290,HDE     227680,0
6269,72.7,1.9,2290,HDE     227696,0
6247,72.1,1.4,2290,HDE     227704,0
6279,73.3,2,2290,HDE     227757,0
6265,72.6,1.7,2290,HDE     227767,0
6266,72.6,1.5,2290,HDE     227877,0
6375,77.5,4.6,2290,HDE     227900,0
12543,74.4,2.5,1150,HDE     227902,0
6292,74.5,2.4,1820,HDE     227977,0
6280,73.3,1.6,2290,HDE     227995,0
6286,73.9,1.9,2290,HDE     228053,0
12544,74.6,2.2,1350,HDE     228101,0
6277,73.2,1.3,2290,HDE     228104,0
12545,74.6,2,4970,HDE     228187,0
6284,73.8,1.6,2290,HDE     228199,0
6298,74.9,2.1,1820,HDE     228263,0
12550,75.2,2.2,4170,HDE     228290,0
6383,77.8,3.7,2290,HDE     228365,0
6297,74.8,1.6,1820,HDE     228437,0
6290,74.4,1.3,1820,HDE     228456,0
6318,75.6,2,1820,HDE     228461,0
6336,76.2,2.3,1820,HDE     228519,0
6401,78.7,3.9,2290,HDE     228530,0
6319,75.6,1.9,1820,HDE     228543,0
6300,74.9,1.4,1820,HDE     228553,0
6291,74.4,0.9,1820,HDE     228587,0
6295,74.6,1,1820,HDE     228602,0
12536,73.2,-0.1,2540,HDE     228684,0
6320,75.6,1.5,1820,HDE     228690,0
6312,75.4,1.3,1820,HDE     228699,0
6391,78.1,3,2290,HDE     228712,0
6376,77.5,2.4,2290,HDE     228797,0
6346,76.6,1.7,1820,HDE     228841,0
6293,74.5,0.2,1820,HDE     228854,0
6302,75.1,0.6,1820,HDE     228860,0
6393,78.2,2.6,2290,HDE     228882,0
6313,75.4,0.8,1820,HDE     228886,0
6294,74.5,0,1820,HDE     228913,0
6387,78,2.4,2290,HDE     228919,0
6394,78.2,2.5,2290,HDE     228928,0
6380,77.6,2.1,2290,HDE     228929,0
6345,76.5,1.3,1820,HDE     228943,0
12574,76.6,1.3,1100,HDE     228969,0
6348,76.7,1.3,1820,HDE     228989,0
12578,76.7,1.3,1150,HDE     228989,0
6330,75.9,0.6,1820,HDE     229033,0
6304,75.2,0.1,1820,HDE     229043,0
6360,77,1.3,1740,HDE     229049,0
6323,75.7,0.4,1820,HDE     229059,0
12541,74,-1,1140,HDE     229115,0
6365,77.1,1.1,1740,HDE     229134,0
6341,76.3,0.5,1820,HDE     229153,0
6369,77.3,1.2,1740,HDE     229159,0
6350,76.8,0.7,1820,HDE     229171,0
6370,77.3,1.1,1740,HDE     229179,0
6405,78.8,2.1,1740,HDE     229196,0
6395,78.2,1.6,1740,HDE     229202,0
6353,76.9,0.6,1820,HDE     229227,0
6357,76.9,0.6,1820,HDE     229234,0
6354,76.9,0.6,1820,HDE     229238,0
6355,76.9,0.6,1820,HDE     229239,0
12414,48.8,0.5,2500,HDE     231124,0
12415,49,0.2,3240,HDE     231195,0
12412,48.4,-2.5,4000,HDE     231564,0
12427,53.5,0,1440,HDE     231616,0
12418,49.6,-3.9,2110,HDE     231970,0
13044,130.7,-6.7,4130,HDE     232522,0
13068,131.6,-6.5,1270,HDE     232552,0
6889,133.2,-6.3,2290,HDE     232588,0
7134,148.9,0.8,1000,HDE     232874,0
13157,155.7,3.1,1390,HDE     232999,0
6469,98.7,1.4,910,HDE     235618,0
6466,98.4,-1.6,3470,HDE     235673,0
13289,191.8,0.7,1610,HDE     235683,0
6504,101.2,-2.6,3470,HDE     235781,0
6510,101.7,-1.9,3470,HDE     235783,0
12730,100.6,-4,1390,HDE     235795,0
6521,102.4,-2,3470,HDE     235813,0
6528,102.9,-1.8,3470,HDE     235825,0
12736,102,-5.9,2560,HDE     235874,0
12910,120,-2.1,1730,HDE     236419,0
12909,120,-2.1,1730,HDE     236419,0
6746,120.3,-2.5,2880,HDE     236429,0
12941,123.9,-6.4,4470,HDE     236589,0
12950,124.5,-2.5,1430,HDE     236612,0
6806,125.2,0,2510,HDE     236633,0
12969,126.5,-4.3,1360,HDE     236689,0
6812,126.7,-4.3,2510,HDE     236697,0
12973,126.7,-4.3,4810,HDE     236697,0
12990,127.9,-2.8,2470,HDE     236762,0
12994,128,-3.1,1230,HDE     236768,0
13005,128.6,-2.4,2730,HDE     236800,0
13004,128.6,-1.8,1510,HDE     236810,0
6827,128.8,-1.9,2880,HDE     236815,0
6851,129.8,-1.8,2880,HDE     236871,0
6859,130.8,-3.5,2290,HDE     236894,0
6871,131.4,-2.5,2290,HDE     236915,0
13066,131.5,-2,1510,HDE     236923,0
6878,132.6,-2.7,2290,HDE     236947,0
6890,133.3,-2,2290,HDE     236954,0
6928,134.5,-1.5,2290,HDE     236960,0
7056,136.5,-3.9,2290,HDE     236970,0
7058,136.6,-2.6,2290,HDE     236971,0
7063,137.1,-2.8,2290,HDE     236979,0
7078,137.9,-0.3,2290,HDE     236995,0
7062,137.1,0.9,2190,HDE     237007,0
7073,137.4,-1,2290,HDE     237019,0
13114,139.8,-0.9,630,HDE     237056,0
7099,140.1,1.9,1000,HDE     237090,0
13117,140.1,1.9,550,HDE     237091,0
7107,141.2,1.4,1000,HDE     237121,0
7109,141.4,1.7,1000,HDE     237130,0
7121,146.6,3,1000,HDE     237204,0
7124,147.1,3,3310,HDE     237211,0
7127,147.6,2.7,3310,HDE     237213,0
12666,88.5,33.8,3210,HDE     238698,0
12694,95.3,5.6,510,HDE     239581,0
12713,98.6,7.6,560,HDE     239618,0
12718,99.1,7.5,3020,HDE     239626,0
6474,99.1,7.5,910,HDE     239626,0
6482,99.5,6.8,910,HDE     239649,0
12720,99.4,6.1,2170,HDE     239676,0
12726,100.2,6.7,1930,HDE     239681,0
6483,99.5,4.4,910,HDE     239712,0
12719,99.2,3.7,2040,HDE     239724,0
6473,98.9,3.3,910,HDE     239725,0
6479,99.3,3.7,910,HDE     239729,0
6506,101.5,5.5,910,HDE     239743,0
